,count,miss%,card,min,25%,50%,75%,max,std
Budget,3219.0,0.06275240757999379,343.0,218.0,7500000.0,22000000.0,50000000.0,300000000.0,42497537.961707644
Revenue,3421.0,0.0,2522.0,0.0,14870.0,30749142.0,114660784.0,2787965087.0,176145761.49026918
Runtime,3417.0,0.001170617500731636,151.0,14.0,94.0,104.0,118.0,325.0,21.909167057228753
Aspect_Ratio,3252.0,0.0519680196801968,20.0,1.18,1.85,1.85,2.35,16.0,0.6621456953057446
Director_Avg_Movie_Revenue,3402.0,0.005584950029394474,1172.0,0.0,9272297.5,53446749.8,130950684.67,1274219009.0,135635880.68718874
Director_Movie_Count,3402.0,0.005584950029394474,18.0,1.0,1.0,3.0,5.0,25.0,4.066836671055115
Keywords_Avg_Revenue,3357.0,0.019064641048555257,3345.0,0.0,46361484.78,74217042.13,115547448.27,1618434235.57,98051417.7396812
Studios_Avg_Movie_Revenue,3206.0,0.06706175920149719,2357.0,0.0,47314193.6225,98385663.65,148625117.19750002,910708357.75,102513976.3430999
Lead_Actor_Avg_Movie_Revenue,3395.0,0.007658321060382916,1026.0,0.0,12758614.25,59790196.0,144103130.17,1143428719.5,119214739.86313903
Lead_Actor_Movie_Count,3395.0,0.007658321060382916,26.0,1.0,1.0,4.0,9.0,27.0,6.66512118348986
Director_Ratio,2982.0,0.1472166331321261,534.0,0.0,0.8724999999999999,2.145,3.3,5330.34,123.82913686660501
Keywords_Ratio,684.0,4.001461988304094,397.0,0.0,1.63,2.42,3.51,10315.18,430.9970047915073
Studios_Ratio,870.0,2.932183908045977,365.0,0.0,0.3325,1.895,2.9,600.0,30.351382178129526
Lead_Actor_Ratio,2848.0,0.2011938202247191,531.0,0.0,0.96,2.22,3.43,5330.34,127.80910022801382
Full_Genre,3421.0,0.0,726.0,0.0,93.0,179.0,334.0,725.0,177.88592267615684
